monitorId,attribute1,attribute2,attribute3,attribute4,time
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPDebugOutput,org.eclipse.php.perspective,"view",1420690265682
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.console.ConsoleView,org.eclipse.php.perspective,"view",1420690298240
org.zend.viewsUsageMonitor,activated,org.eclipse.rse.ui.view.systemView,org.eclipse.php.perspective,"view",1420690300684
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.views.ProblemView,org.eclipse.php.perspective,"view",1420690301519
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.console.ConsoleView,org.eclipse.php.perspective,"view",1420690302890
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.selectAll",1420690577864
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1420690580239
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1420690585529
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPDebugOutput,org.eclipse.php.perspective,"view",1420690595400
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.help.helpContents",1420690732206
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.project.properties",1420690834701
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.properties",1420690857487
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.window.preferences",1420690942513
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.selectAll",1420691259985
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.selectAll",1420691269992
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1420691270998
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1420691402553
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.delete",1420691402553
